x:0,5600052;y:0,1071415;y_true:-0,4163271
x:2,160008;y:0,2195205;y_true:-0,8409982
x:-0,4399962;y:-1,472113;y_true:-1,536767
x:-1,139997;y:-2,930678;y_true:-1,395928
x:-2,639999;y:-6,835731;y_true:-5,71064
x:-0,5399964;y:-1,332182;y_true:-1,883145
x:2,660008;y:-0,1062501;y_true:0,7681957
x:0,1600046;y:-0,5158417;y_true:-0,1054608
x:-2,74;y:-5,140687;y_true:-6,935275
x:3,060009;y:-0,3034019;y_true:-0,07732835
x:1,660007;y:0,3914972;y_true:0,863085
x:2,560008;y:-0,02698633;y_true:-1,021229
x:-2,439999;y:-7,523499;y_true:-7,943917
x:0,460005;y:0,01251832;y_true:0,6262255
x:2,260008;y:0,1279005;y_true:0,1788362
x:1,560006;y:0,4110256;y_true:-0,3700303
x:-2,539999;y:-7,546652;y_true:-7,42499
x:2,360008;y:0,05881522;y_true:0,1202791
x:-2,039999;y:-7,123638;y_true:-8,026268
x:2,060007;y:0,2221452;y_true:0,4532356
x:1,360007;y:0,4480233;y_true:-0,0497553
x:-0,7399967;y:-1,334059;y_true:-1,887624
x:-0,03999567;y:-0,3600383;y_true:-0,06071365
x:0,960006;y:0,423445;y_true:0,5055863
x:-1,639998;y:-5,453859;y_true:-6,1907
x:0,6600053;y:0,1510486;y_true:0,3780635
x:0,3600049;y:0,003771687;y_true:-0,1175947
x:-0,8399968;y:-1,823508;y_true:-1,798933
x:-3,14;y:-0,6513132;y_true:0,3333568
x:-2,139999;y:-8,579807;y_true:-8,182275
x:-0,239996;y:-1,731207;y_true:-2,291877
x:1,160006;y:0,4725287;y_true:1,532367
x:2,760008;y:-0,1835758;y_true:0,8119725
x:0,06000447;y:-0,3731798;y_true:-0,9692476
x:-1,039997;y:-2,69407;y_true:-4,062442
x:-0,1399958;y:-0,9455422;y_true:-0,7428212
x:-2,94;y:-3,181975;y_true:-3,037098
x:-2,84;y:-4,780544;y_true:-4,50515
x:-1,539998;y:-5,497118;y_true:-6,623504
x:1,060006;y:0,4824473;y_true:1,936074
x:1,260006;y:0,4671;y_true:0,1064695
x:-1,739998;y:-6,972;y_true:-4,190346
x:-1,239997;y:-4,022365;y_true:-5,771959
x:-0,939997;y:-2,663539;y_true:-1,900292
x:-2,239999;y:-8,79325;y_true:-8,759989
x:1,860007;y:0,3321857;y_true:3,030433
x:-3,04;y:-0,7174935;y_true:-1,394914
x:0,8600056;y:0,3712888;y_true:-1,090136
x:0,7600055;y:0,2571152;y_true:0,6840945
x:1,760007;y:0,3771103;y_true:0,04312174
x:2,860008;y:-0,1240401;y_true:-0,8502097
x:2,460008;y:0,08217292;y_true:0,0630011
x:-1,339998;y:-4,41586;y_true:-3,487614
x:-0,6399965;y:-1,800593;y_true:-1,094729
x:-1,439998;y:-4,795897;y_true:-4,08862
x:-2,339999;y:-8,368682;y_true:-8,182148
x:1,460006;y:0,4404967;y_true:-0,53262
x:-1,839998;y:-6,568606;y_true:-7,486543
x:2,960009;y:-0,1828706;y_true:-0,6256443
x:1,960007;y:0,3295722;y_true:-0,5190119
x:-0,3399961;y:-1,781557;y_true:-1,235987
x:0,2600048;y:-0,2907866;y_true:-0,4359076
x:-1,939998;y:-6,984221;y_true:-7,113473
